,GSM3319036_Ovary Normal_eHormones,GSM3319036_Ovary Normal_eStromal,GSM3319040_Ovary Normal_eStromal,GSM3319041_Ovary Normal_eHormones,GSM3319041_Ovary Normal_eStromal,GSM3319042_Ovary Normal_eStromal,GSM3319043_Ovary Normal_eHormones,GSM3319043_Ovary Normal_eStromal,GSM3557960_Ovary Normal_eStromal,GSM3557970_Ovary Normal_eStromal,GSM3557971_Ovary Normal_eHormones,GSM3557972_Ovary Normal_eHormones,GSM3557973_Ovary Normal_eHormones,GSM4568674_Fallopian Tube Normal_secretory cell,GSM4568675_Fallopian Tube Normal_ciliated epithelial cell,GSM4568675_Fallopian Tube Normal_secretory cell,GSM4568676_Fallopian Tube Normal_ciliated epithelial cell,GSM4568676_Fallopian Tube Normal_secretory cell,GSM4568677_Fallopian Tube Normal_secretory cell,GSM4568678_Fallopian Tube Normal_ciliated epithelial cell,GSM4568678_Fallopian Tube Normal_secretory cell,GSM4568679_Fallopian Tube Normal_ciliated epithelial cell,GSM4568679_Fallopian Tube Normal_secretory cell,GSM4568681_Fallopian Tube Normal_ciliated epithelial cell,GSM4568681_Fallopian Tube Normal_secretory cell,GSM4568682_Fallopian Tube Normal_ciliated epithelial cell,GSM4568682_Fallopian Tube Normal_secretory cell,GSM4568684_Fallopian Tube Normal_ciliated epithelial cell,GSM4568684_Fallopian Tube Normal_secretory cell,GSM4568685_Fallopian Tube Normal_ciliated epithelial cell,GSM4568685_Fallopian Tube Normal_secretory cell,GSM4675273_Cancer,GSM4675277_Cancer,ov_GSE184880_GSM5599224_Ovary Normal_eHormones,ov_GSE184880_GSM5599225_Cancer,ov_GSE184880_GSM5599226_Cancer,ov_GSE184880_GSM5599230_Cancer,ov_GSE184880_GSM5599231_Cancer,ov_GSE213243_GSM6576367_Cancer,pan_blue_hgstoc_SOL012_Cancer,pan_blueprint_ovary_scrSOL004_Cancer
IGFBP2,4.5420604,1.8924781,1.8951819,3.0599625,1.5725807,2.9459348,3.1759505,0.5686074,1.1338451,1.2145518,5.1329727,15.692934,3.3409667,0.9713233,0.97748744,4.684807,0.86990535,2.1477022,0.39239958,0.43018377,2.6842442,0.30457693,0.4772549,0.42235398,2.0325336,0.17250206,0.4557233,0.44532198,2.0607693,1.0232829,0.19288588,1.6739196,16.871094,5.511611,3.9859939,8.08908,49.62382,8.206824,10.985211,2.406141,4.676882
EIF4E2,0.74604475,0.54624313,0.23274662,1.0133091,0.33394632,0.27103668,0.7247848,0.33311096,0.35806558,0.4548244,0.8002923,0.56742716,0.7978215,0.20109048,0.42456022,0.44756737,0.21641508,0.16542025,0.34540704,0.44513208,0.24233244,0.30377522,0.19593593,0.30435836,0.4865411,0.2619489,0.3023813,0.30844682,0.35419452,0.33885792,0.591684,1.0492797,1.4057356,0.99215794,0.4089345,0.74606955,0.76479846,0.4478284,0.6142157,0.77676564,0.91293657
PRRT3,0.02653496,0.030257694,0.07124126,0.056099974,0.03615294,0.16300865,0.088413335,0.0694038,0.03364131,0.06009018,0.030628046,0.058433607,0.11835059,0.075541906,0.3197687,0.01997941,0.26798967,0.085282795,0.013946129,0.34602323,0.10540699,0.23813748,0.047245134,0.27335685,0.008329447,0.19415148,0.01546444,0.24754329,0.008095364,0.26975957,0.017043715,0.08503187,0.016535813,0.026706738,0.12672666,0.041573208,0.29066032,0.06204061,0.1656955,0.0701632,0.0
ATP2B2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18531398,0.03828746,0.16481476,0.004452199,0.06204814,0.14358303,0.010146347,0.1491507,0.0009320335,0.04622606,0.00080903916,0.23431888,0.009652736,0.093771115,0.007396617,0.16954835,0.01734093,0.06015179,0.0,0.0,0.0,0.032084394,0.0063063167,0.0076217283,0.030819366,0.20091766,0.006447262,0.0
SLC6A6,0.019861443,0.014658713,0.051036306,0.004717941,0.06747006,0.037248515,0.009812377,0.076217234,0.017540893,0.0052982904,0.0,0.029062798,0.0,0.012162847,0.38457674,0.0,0.20082304,0.041145615,0.0014866529,0.45488626,0.0,0.43503302,0.013383964,0.6698539,0.049366366,0.44255906,0.021711767,0.6562963,0.07063834,0.58453405,0.005866268,0.09655911,0.08222525,0.1616971,0.12391756,0.5137643,0.17757091,0.15871705,0.38450867,0.011863391,0.039366778
SATB1,0.45520422,0.22465467,0.34280115,0.10810057,0.13991874,0.10127073,0.21508566,0.14309247,0.036537565,0.053720694,0.33278802,0.39932892,0.060824383,0.17669123,0.6272305,0.19160585,0.7712167,0.25356856,0.18246987,0.9101139,0.18153384,0.98917645,0.33823195,1.0305983,0.23062968,1.0350407,0.2737916,0.7891609,0.13888383,0.51283336,0.14795946,0.27997527,0.08689611,0.08611989,0.037834626,0.14342874,0.082183756,0.0023997882,0.0022901625,0.01163428,0.0
EFHB,0.0,0.0183426,0.0,0.005367526,0.0,0.0,0.0,0.0,0.011587608,0.008137214,0.008273288,0.08545283,0.02625288,0.009735956,0.7154086,0.042866055,0.48841038,0.050906993,0.0039420775,0.5325562,0.034911513,0.7607845,0.047787298,0.49579984,0.05563945,0.83765405,0.03178525,0.7634717,0.04257053,0.7430968,0.023767747,0.10654513,0.010741292,0.021816937,0.004463799,0.02237887,0.01300035,0.0060080476,0.058710538,0.01017143,0.044185657
RAB5A,0.7692582,2.7762873,1.8501626,0.6808567,1.6176621,1.4530835,1.0124162,2.5914025,3.1758583,3.0534828,0.46714616,0.57254696,0.52958786,0.30536732,0.7094139,0.6237826,0.5627446,0.46658248,0.30241954,0.54089206,0.79302824,0.48172984,0.70618635,0.6840239,1.0952505,0.55091685,0.6165737,0.77367574,0.79861945,0.49280718,0.70313627,0.79200774,0.18035924,0.38644654,0.4701678,0.584135,0.4336019,0.3200243,0.35060015,0.18168356,0.395929
NR1D2,0.33278537,0.77516043,0.6379863,0.23767664,0.9751851,0.7965807,0.42514378,1.2997324,0.49687842,0.574306,0.2590161,0.26900283,0.1723008,0.18763499,0.3163363,0.14012504,0.3554108,0.23505133,0.15708755,0.27671188,0.19950235,0.354511,0.3430153,0.2963183,0.122833595,0.2828739,0.33893225,0.37502316,0.15796988,0.48468518,0.181736,0.20086889,0.1265428,0.046918713,0.217686,0.11650752,0.14293091,0.17008455,0.34705588,0.12847815,0.16374362
ZNF660,0.05751717,0.0,0.04006976,0.07739182,0.039898124,0.028997563,0.17776166,0.07647185,0.028205467,0.025265004,0.052552637,0.15067577,0.08242372,0.029076107,0.0015019751,0.021932738,0.0031467215,0.0077089183,0.0019429466,0.020177081,0.0042192754,0.023648372,0.009377114,0.0104455715,0.0,0.028793734,0.0056577073,0.01194437,0.0,0.0,0.022821048,0.04983521,0.006354239,0.041514155,0.051034644,0.016938293,0.07449132,0.0060329414,0.01614405,0.0112652145,0.0
